week,average_price($),median_price($)
Monday,320.1175394180351,253.5
Tuesday,319.9815054980179,253.5
Wednesday,320.13558783326965,253.5
Thursday,321.1911156835008,255.0
Friday,329.6895809889455,262.5
Saturday,329.6467400375926,261.5
Sunday,321.843897810219,255.0
