bedrooms_nums,min,Q1,median,Q3,max
-1,25.0,265.0,450.0,670.0,999.0
0,0.0,75.0,116.0,173.0,950.0
1,10.0,67.0,103.0,160.0,999.0
2,10.0,124.0,180.0,264.0,999.0
3,18.0,150.0,225.0,343.0,999.0
4,28.0,200.0,304.0,453.0,999.0
5,28.0,250.0,400.0,600.0,999.0
