Month,average_price($),median_price($)
January,212.8566217526292,169.0
February,213.79401524578904,170.0
March,217.3100647656466,171.5
April,217.5942116742965,172.0
May,220.59326045791013,175.0
June,223.02928847670663,175.0
July,224.18693089694034,175.0
August,223.71541212009123,175.0
September,213.42044780214522,170.0
October,203.75817825600583,165.0
November,202.77979219677692,160.0
December,212.79022285678812,165.0
