price_bucket,avg_overall,avg_accuracy,avg_cleanliness,avg_checkin,avg_communication,avg_location,avg_value
>200,4.76,4.81,4.77,4.84,4.85,4.87,4.68
150-200,4.72,4.79,4.74,4.84,4.84,4.83,4.68
100-150,4.71,4.8,4.73,4.86,4.85,4.82,4.69
50-100,4.65,4.77,4.66,4.84,4.84,4.77,4.68
<=50,4.52,4.73,4.55,4.82,4.8,4.74,4.67
