host_is_superhost,avg_overall,avg_accuracy,avg_cleanliness,avg_checkin,avg_communication,avg_location,avg_value
t,4.86,4.89,4.86,4.92,4.93,4.86,4.79
f,4.61,4.74,4.64,4.81,4.8,4.79,4.64
